Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,C152930
"C11, C7",0402,2,1uF,C389008
C12,CP_EIA-3216-18_Kemet-A,1,10uF,C124856
C13,CP_EIA-3216-18_Kemet-A,1,22uF,C124838
"C15, C6",0402,2,10nF,C527020
"C2, C3, C4, C5, C9",0402,5,100nF,C129131
C8,CP_Elec_6.3x7.7,1,270uF,C178573
H1,MountingHole_4mm,1,MountingHole,
J1,TE_1-1734248-2,1,TE_Conn_1-1734248-2,C590853
J14,PinHeader_2x03_P2.54mm_Vertical,1,SWD,C358692
J2,GCT_USB4130-GF-A_REVA,1,USB-C,C5187463
J6,TE_440054-2_1x02_P2.00mm_Vertical,1,Conn_01x02_Socket,
L1,0603,1,22uH,C2041591
R1,0402,1,150R,C227304
"R10, R9",0402,2,5K1,C144745
R2,0402,1,220R,C137899
R3,0402,1,0R,C4288031
R4,0402,1,10R,C144729
R6,0402,1,4K7,C2935240
U1,SOT-223-3_TabPin2,1,AZ1117-3.3,C110474
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F303RETx,C183214
